epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,train/rle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,val/rle_loss,lr/pg0,lr/pg1,lr/pg2
55,1729.92,0.54187,3.42488,0.18358,0.38581,0.01384,0.91789,0.9714,0.97376,0.98983,0.85658,0.88861,0.84884,0.85162,0.70843,0.41733,2.38544,0.04551,0.24167,0.01375,0,0.00088592,0.00088592,0.00088592
56,2156.18,0.54106,3.45313,0.18519,0.38856,0.01371,0.95413,0.97251,0.97375,0.98947,0.85674,0.88909,0.84889,0.85094,0.70938,0.4171,2.38122,0.04542,0.24049,0.01374,0,0.00085513,0.00085513,0.00085513
57,2582.41,0.53941,3.43217,0.18296,0.39017,0.01375,0.90945,0.97264,0.97409,0.98959,0.85704,0.88791,0.849,0.85213,0.71073,0.41682,2.37702,0.04526,0.24252,0.01372,0,0.000824492,0.000824492,0.000824492
58,3009.38,0.54085,3.39886,0.18212,0.39254,0.01382,0.8556,0.96989,0.97697,0.98969,0.85689,0.88867,0.84938,0.85197,0.71029,0.41616,2.37239,0.04513,0.24227,0.0137,0,0.000794038,0.000794038,0.000794038
59,3434.81,0.5365,3.41764,0.18088,0.38747,0.01361,0.84018,0.97031,0.97604,0.98957,0.85724,0.88965,0.84835,0.85171,0.71099,0.4154,2.36566,0.04506,0.24211,0.01367,0,0.000763797,0.000763797,0.000763797
60,3859.68,0.53378,3.37681,0.1815,0.38045,0.01359,0.80664,0.97044,0.97604,0.98979,0.8578,0.88969,0.84998,0.85261,0.71278,0.4145,2.35913,0.04496,0.24196,0.01364,0,0.000733799,0.000733799,0.000733799
61,4286.01,0.53023,3.34544,0.17936,0.3758,0.01334,0.76573,0.9704,0.9775,0.98992,0.85855,0.88728,0.85281,0.85278,0.71375,0.41415,2.35365,0.04482,0.24122,0.01363,0,0.000704073,0.000704073,0.000704073
62,4712.27,0.53291,3.35804,0.17898,0.38097,0.01352,0.78202,0.97059,0.97668,0.98978,0.85848,0.88945,0.85103,0.85768,0.71436,0.41365,2.34711,0.04463,0.24132,0.01361,0,0.000674649,0.000674649,0.000674649
63,5137.94,0.52596,3.2638,0.1779,0.37953,0.01331,0.72198,0.96981,0.97838,0.98977,0.85881,0.88971,0.85227,0.8592,0.7151,0.41291,2.34327,0.04445,0.24121,0.01358,0,0.000645557,0.000645557,0.000645557
64,5564,0.52199,3.22045,0.17616,0.37144,0.01318,0.69006,0.97197,0.97673,0.98989,0.85907,0.89093,0.85408,0.86001,0.71593,0.41241,2.33927,0.04423,0.24117,0.01357,0,0.000616824,0.000616824,0.000616824
